,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
98,Green Day,When I Come Around,0.531,0.909,11,-4.236,1,0.034,0.0175,0,0.231,0.814,97.546,audio_features,1Dr1fXbc2IxaK1Mu8P8Khz,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/tracks/1Dr1fXbc2IxaK1Mu8P8Khz,https://api.spotify.com/v1/audio-analysis/1Dr1fXbc2IxaK1Mu8P8Khz,178000,4,Terry
99,Dire Straits,Money For Nothing,0.642,0.766,2,-6.82,0,0.0401,0.0407,0.000103,0.0593,0.593,134.185,audio_features,4bO6DljpuAeQh6HS20i0I5,spotify:track:4bO6DljpuAeQh6HS20i0I5,https://api.spotify.com/v1/tracks/4bO6DljpuAeQh6HS20i0I5,https://api.spotify.com/v1/audio-analysis/4bO6DljpuAeQh6HS20i0I5,504333,4,Terry
100,Blondie,Call Me,0.56,0.825,2,-6.711,0,0.0347,0.000785,0.00246,0.0892,0.74,142.669,audio_features,4qO03RMQm88DdpTJcxlglY,spotify:track:4qO03RMQm88DdpTJcxlglY,https://api.spotify.com/v1/tracks/4qO03RMQm88DdpTJcxlglY,https://api.spotify.com/v1/audio-analysis/4qO03RMQm88DdpTJcxlglY,212600,4,Terry
101,Ed Sheeran,Galway Girl,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,audio_features,0afhq8XCExXpqazXczTSve,spotify:track:0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/tracks/0afhq8XCExXpqazXczTSve,https://api.spotify.com/v1/audio-analysis/0afhq8XCExXpqazXczTSve,170827,4,Terry
102,Kanye West,Jail,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,audio_features,6d8HN8MqqbqrEUI2bvx0aG,spotify:track:6d8HN8MqqbqrEUI2bvx0aG,https://api.spotify.com/v1/tracks/6d8HN8MqqbqrEUI2bvx0aG,https://api.spotify.com/v1/audio-analysis/6d8HN8MqqbqrEUI2bvx0aG,297000,4,Alex
103,Kanye West,Hurricane,0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,audio_features,6Hfu9sc7jvv6coyy2LlzBF,spotify:track:6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/tracks/6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/audio-analysis/6Hfu9sc7jvv6coyy2LlzBF,243187,4,Alex
104,Kanye West,Praise God,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48E-05,0.258,0.212,118.029,audio_features,0WSEq9Ko4kFPt8yo3ICd6T,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,https://api.spotify.com/v1/tracks/0WSEq9Ko4kFPt8yo3ICd6T,https://api.spotify.com/v1/audio-analysis/0WSEq9Ko4kFPt8yo3ICd6T,226653,4,Alex
105,Kanye West,Off The Grid,0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,audio_features,6LNoArVBBVZzUTUiAX2aKO,spotify:track:6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/tracks/6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/audio-analysis/6LNoArVBBVZzUTUiAX2aKO,339250,4,Alex
106,Kanye West,Ok Ok,0.738,0.471,11,-9.208,0,0.402,0.319,1.28E-06,0.13,0.283,107.98,audio_features,5LuXsO34x6KVlL8OWsxRqk,spotify:track:5LuXsO34x6KVlL8OWsxRqk,https://api.spotify.com/v1/tracks/5LuXsO34x6KVlL8OWsxRqk,https://api.spotify.com/v1/audio-analysis/5LuXsO34x6KVlL8OWsxRqk,204630,5,Alex
107,Kanye West,Pure Souls,0.381,0.528,5,-6.997,1,0.0449,0.102,0,0.269,0.256,97.207,audio_features,5aqUqSq0SqGBAqEn27PEzc,spotify:track:5aqUqSq0SqGBAqEn27PEzc,https://api.spotify.com/v1/tracks/5aqUqSq0SqGBAqEn27PEzc,https://api.spotify.com/v1/audio-analysis/5aqUqSq0SqGBAqEn27PEzc,358622,4,Alex
108,Kanye West,Come to Life,0.44,0.465,3,-6.592,1,0.0318,0.689,1.26E-06,0.384,0.241,126.937,audio_features,5xvXeuxISyXJDRbZZf4uzd,spotify:track:5xvXeuxISyXJDRbZZf4uzd,https://api.spotify.com/v1/tracks/5xvXeuxISyXJDRbZZf4uzd,https://api.spotify.com/v1/audio-analysis/5xvXeuxISyXJDRbZZf4uzd,310394,4,Alex
109,Zion.T,The Song,0.815,0.613,7,-5.009,1,0.0323,0.716,0,0.114,0.46,94.979,audio_features,2jiC29jZ2zaaP5vOR6xa1M,spotify:track:2jiC29jZ2zaaP5vOR6xa1M,https://api.spotify.com/v1/tracks/2jiC29jZ2zaaP5vOR6xa1M,https://api.spotify.com/v1/audio-analysis/2jiC29jZ2zaaP5vOR6xa1M,216627,4,Alex
110,G-DRAGON,"무제(無題) (Untitled, 2014)",0.583,0.461,4,-5.153,1,0.0321,0.785,1.70E-05,0.13,0.263,79.826,audio_features,16BS342F89MDqouSxgLaUK,spotify:track:16BS342F89MDqouSxgLaUK,https://api.spotify.com/v1/tracks/16BS342F89MDqouSxgLaUK,https://api.spotify.com/v1/audio-analysis/16BS342F89MDqouSxgLaUK,222868,4,Alex
111,Zion.T,Sorry,0.819,0.66,4,-4.01,1,0.181,0.635,0,0.175,0.869,97.024,audio_features,33N2tkgwUJ7dB4eCscHpMR,spotify:track:33N2tkgwUJ7dB4eCscHpMR,https://api.spotify.com/v1/tracks/33N2tkgwUJ7dB4eCscHpMR,https://api.spotify.com/v1/audio-analysis/33N2tkgwUJ7dB4eCscHpMR,186192,4,Alex
112,Sigala,Give Me Your Love,0.633,0.947,2,-2.332,1,0.0354,0.00458,3.96E-05,0.341,0.683,124.973,audio_features,1plzDKavZ6EkVk91RPYd1L,spotify:track:1plzDKavZ6EkVk91RPYd1L,https://api.spotify.com/v1/tracks/1plzDKavZ6EkVk91RPYd1L,https://api.spotify.com/v1/audio-analysis/1plzDKavZ6EkVk91RPYd1L,207280,4,Alex
